Clg_Name,Year,Branch,Category,Open_Rank,Close_Rank
nit-calicut,2022,Civil Engineering,OPEN,49527,36937
nit-calicut,2022,Civil Engineering,EWS,54761,5705
nit-calicut,2022,Civil Engineering,OBC NCL,18377,11538
nit-calicut,2022,Civil Engineering,SC,20918,5118
nit-calicut,2022,Civil Engineering,ST,15395,1133
nit-calicut,2022,Electrical and Electronics Engineering,OPEN,25305,14988
nit-calicut,2022,Electrical and Electronics Engineering,EWS,58558,2392
nit-calicut,2022,Electrical and Electronics Engineering,OBC NCL,8203,4881
nit-calicut,2022,Electrical and Electronics Engineering,SC,12668,2454
nit-calicut,2022,Electrical and Electronics Engineering,ST,19064,819
nit-calicut,2022,Electronics and Communication Engineering,OPEN,17312,9044
nit-calicut,2022,Electronics and Communication Engineering,EWS,29302,1389
nit-calicut,2022,Electronics and Communication Engineering,OBC NCL,5772,2926
nit-calicut,2022,Electronics and Communication Engineering,SC,7062,1356
nit-calicut,2022,Electronics and Communication Engineering,ST,9237,306
nit-calicut,2022,Mechanical Engineering,OPEN,32212,23029
nit-calicut,2022,Mechanical Engineering,EWS,69916,3530
nit-calicut,2022,Mechanical Engineering,OBC NCL,11802,7418
nit-calicut,2022,Mechanical Engineering,SC,17148,3659
nit-calicut,2022,Mechanical Engineering,ST,16174,1063
nit-calicut,2022,Production Engineering,OPEN,50741,35771
nit-calicut,2022,Production Engineering,OBC NCL,18892,11823
nit-calicut,2022,Production Engineering,SC,23499,6433
nit-calicut,2022,Architecture,OPEN,342,491
nit-calicut,2022,Architecture,OBC NCL,169,305
nit-calicut,2022,Architecture,SC,108,89
nit-calicut,2022,Computer Science and Engineering,OPEN,10956,4521
nit-calicut,2022,Computer Science and Engineering,EWS,13499,705
nit-calicut,2022,Computer Science and Engineering,OBC NCL,4032,1242
nit-calicut,2022,Computer Science and Engineering,SC,2927,361
nit-calicut,2022,Computer Science and Engineering,ST,3630,128
nit-calicut,2022,Biotechnology Engineering,OPEN,49187,40636
nit-calicut,2022,Biotechnology Engineering,EWS,32720,5931
nit-calicut,2022,Biotechnology Engineering,OBC NCL,17636,12464
nit-calicut,2022,Biotechnology Engineering,SC,9407,5688
nit-calicut,2022,Biotechnology Engineering,ST,27641,1718
nit-calicut,2022,Chemical Engineering,OPEN,42052,29246
nit-calicut,2022,Chemical Engineering,EWS,68456,4569
nit-calicut,2022,Chemical Engineering,OBC NCL,14596,9683
nit-calicut,2022,Chemical Engineering,SC,23514,4968
nit-calicut,2022,Chemical Engineering,ST,12843,1636
nit-calicut,2022,Engineering Physics,OPEN,36882,21125
nit-calicut,2022,Engineering Physics,EWS,21102,3764
nit-calicut,2022,Engineering Physics,OBC NCL,14826,7486
nit-calicut,2022,Engineering Physics,SC,23413,5170
nit-calicut,2022,Engineering Physics,ST,18969,1867
